                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.51446,                0.36629,                0.83518,                 0.8271,                0.77286,                0.82261,                0.71363,                0.62364,                 0.7635,                0.82053,             0.00062683,             0.00062683,             0.00062683
                     77,                0.50758,                0.36534,                 0.8314,                0.83413,                0.80778,                0.85013,                 0.7451,                 0.6516,                0.71749,                0.82852,             0.00062408,             0.00062408,             0.00062408
                     78,                0.50407,                0.36766,                0.83269,                0.81849,                0.78921,                0.83068,                0.72054,                0.64837,                 0.7621,                0.82881,             0.00062133,             0.00062133,             0.00062133
                     79,                0.50386,                0.36104,                0.83305,                0.90254,                0.82268,                0.88348,                0.77743,                0.62371,                0.61839,                0.82837,             0.00061859,             0.00061859,             0.00061859
                     80,                 0.5081,                0.36132,                0.83144,                0.90254,                0.78674,                0.84929,                0.74242,                0.64382,                0.73036,                0.83201,             0.00061584,             0.00061584,             0.00061584
                     81,                0.50173,                0.36371,                0.83062,                0.90523,                0.76481,                0.85042,                0.75714,                0.62247,                0.72187,                0.82574,             0.00061309,             0.00061309,             0.00061309
                     82,                0.50351,                0.36591,                0.83182,                0.92227,                0.76035,                0.82108,                0.71256,                0.64692,                0.79078,                 0.8254,             0.00061034,             0.00061034,             0.00061034
                     83,                0.50535,                0.36212,                0.82934,                0.91728,                0.73564,                0.86381,                0.76365,                0.62616,                0.66076,                0.82941,             0.00060759,             0.00060759,             0.00060759
                     84,                0.50075,                0.35129,                0.83232,                 0.8878,                0.75951,                0.81271,                0.71129,                0.63097,                 0.8323,                0.82866,             0.00060484,             0.00060484,             0.00060484
                     85,                  0.501,                0.35892,                0.82935,                0.90067,                0.76427,                0.82842,                0.72628,                0.62993,                0.81087,                0.82702,             0.00060209,             0.00060209,             0.00060209
                     86,                0.49806,                0.35565,                0.83354,                0.88863,                0.77532,                0.83058,                0.72628,                0.63257,                0.67426,                0.82891,             0.00059934,             0.00059934,             0.00059934
                     87,                0.50228,                0.35414,                 0.8316,                0.93807,                0.75143,                0.84795,                0.73898,                0.64713,                0.68543,                0.83508,             0.00059659,             0.00059659,             0.00059659
                     88,                0.49862,                0.35731,                0.83486,                0.87098,                0.77862,                0.80991,                0.70042,                0.63316,                0.83097,                0.82911,             0.00059385,             0.00059385,             0.00059385
                     89,                 0.4996,                0.35361,                 0.8335,                0.83775,                0.79161,                 0.8343,                0.72853,                0.63778,                0.67673,                0.83054,              0.0005911,              0.0005911,              0.0005911
                     90,                0.49458,                0.35763,                0.83189,                0.88654,                0.79245,                0.82879,                0.72596,                0.63036,                 0.8308,                0.82869,             0.00058835,             0.00058835,             0.00058835
                     91,                0.49289,                0.34751,                0.83298,                0.90327,                0.77464,                0.86135,                0.75627,                0.61891,                0.73481,                0.82251,              0.0005856,              0.0005856,              0.0005856
                     92,                0.49029,                0.34577,                0.83159,                  0.888,                0.78773,                 0.8337,                0.72664,                0.62539,                0.71262,                0.82556,             0.00058285,             0.00058285,             0.00058285
                     93,                0.49544,                0.35566,                0.83246,                0.92776,                0.76217,                0.84983,                0.75763,                0.61612,                0.71222,                0.82314,              0.0005801,              0.0005801,              0.0005801
